Table                    | Index        | Content
InstructionST            | 0            | AAA
InstructionST            | 1            | AAD8i8
InstructionST            | 2            | AAM8i8
InstructionST            | 3            | AAS
InstructionST            | 4            | ABS_F
InstructionST            | 5            | ABS_Fp32
InstructionST            | 6            | ABS_Fp64
InstructionST            | 7            | ABS_Fp80
InstructionST            | 8            | ADC16i16
InstructionST            | 9            | ADC16mi
InstructionST            | 10           | ADC16mi8
InstructionST            | 11           | ADC16mr
InstructionST            | 12           | ADC16ri
InstructionST            | 13           | ADC16ri8
InstructionST            | 14           | ADC16rm
InstructionST            | 15           | ADC16rr
InstructionST            | 16           | ADC16rr_REV
InstructionST            | 17           | ADC32i32
InstructionST            | 18           | ADC32mi
InstructionST            | 19           | ADC32mi8
InstructionST            | 20           | ADC32mr
InstructionST            | 21           | ADC32ri
InstructionST            | 22           | ADC32ri8
InstructionST            | 23           | ADC32rm
InstructionST            | 24           | ADC32rr
InstructionST            | 25           | ADC32rr_REV
InstructionST            | 26           | ADC64i32
InstructionST            | 27           | ADC64mi32
InstructionST            | 28           | ADC64mi8
InstructionST            | 29           | ADC64mr
InstructionST            | 30           | ADC64ri32
InstructionST            | 31           | ADC64ri8
InstructionST            | 32           | ADC64rm
InstructionST            | 33           | ADC64rr
InstructionST            | 34           | ADC64rr_REV
InstructionST            | 35           | ADC8i8
InstructionST            | 36           | ADC8mi
InstructionST            | 37           | ADC8mi8
InstructionST            | 38           | ADC8mr
InstructionST            | 39           | ADC8ri
InstructionST            | 40           | ADC8ri8
InstructionST            | 41           | ADC8rm
InstructionST            | 42           | ADC8rr
InstructionST            | 43           | ADC8rr_REV
InstructionST            | 44           | ADCX32rm
InstructionST            | 45           | ADCX32rr
InstructionST            | 46           | ADCX64rm
InstructionST            | 47           | ADCX64rr
InstructionST            | 48           | ADD16i16
InstructionST            | 49           | ADD16mi
InstructionST            | 50           | ADD16mi8
InstructionST            | 51           | ADD16mr
InstructionST            | 52           | ADD16ri
InstructionST            | 53           | ADD16ri8
InstructionST            | 54           | ADD16ri8_DB
